Hisse,Sinyal,Skor,Kapanış,Likidite (TL),Stop,Hedef,R:R,İkinci Onay,Onay Notu,Çelişki,Rejim Notu,Tarih
PSGYO,BEKLE,0.037,3.74,1112656231.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TRMET,BEKLE,0.0339,136.1,718195560.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
SAHOL,BEKLE,0.0301,87.1,2906470847.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
EUREN,BEKLE,0.0274,4.11,108340948.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
GENIL,BEKLE,0.0263,9.21,317286525.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
HALKB,BEKLE,0.0254,35.98,1886147325.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
GLRMK,BEKLE,0.0243,163.3,505912604.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ISCTR,BEKLE,0.0243,12.92,6762600867.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
DAPGM,BEKLE,0.0238,9.52,1326480363.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
VAKBN,BEKLE,0.0212,30.24,1248080905.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
GESAN,BEKLE,0.0197,81.3,693378159.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
BIMAS,BEKLE,0.0156,380.25,4235684560.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ENJSA,BEKLE,0.0152,105.4,247014897.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
GRTHO,BEKLE,0.0139,247.0,258819133.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ALTNY,BEKLE,0.0137,16.67,559981450.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
REEDR,BEKLE,0.011,6.75,142244091.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ISMEN,BEKLE,0.0107,36.3,180051866.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
AKSA,BEKLE,0.0104,12.05,267852042.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
AEFES,BEKLE,0.0101,20.96,746847145.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
FENER,BEKLE,0.0081,3.06,352362550.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TSKB,BEKLE,-0.0027,11.43,167818426.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ECILC,BEKLE,-0.0032,71.05,249456971.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TRALT,BEKLE,-0.0078,49.12,6346689850.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ENERY,BEKLE,-0.0138,9.57,760291322.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
MPARK,BEKLE,-0.0146,402.25,255435789.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
THYAO,BEKLE,-0.0158,312.0,17105803294.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TOASO,BEKLE,-0.0159,281.0,1013998120.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
PATEK,BEKLE,-0.019,20.42,378327329.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
TCELL,BEKLE,-0.0194,103.7,2693881342.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
GARAN,BEKLE,-0.0197,126.0,3470042865.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
PGSUS,BEKLE,-0.0205,161.6,1814063003.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
BSOKE,BEKLE,-0.0249,34.76,162296060.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
OTKAR,BEKLE,-0.0269,327.0,445183772.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
BALSU,BEKLE,-0.0301,16.08,2232329091.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
MAVI,BEKLE,-0.042,38.48,153831350.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TAVHL,BEKLE,-0.0426,259.5,817250658.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
VESTL,BEKLE,-0.0437,24.42,276725210.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
CWENE,BEKLE,-0.0442,37.3,1987219847.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
KTLEV,BEKLE,-0.0454,155.0,4171868430.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ASTOR,BEKLE,-0.0486,297.0,9978736801.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TTKOM,BEKLE,-0.0513,54.0,2052071419.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TRENJ,BEKLE,-0.0534,100.3,193089252.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ZOREN,BEKLE,-0.0627,2.54,240015845.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
CANTE,BEKLE,-0.0674,1.28,339453325.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
ANSGR,BEKLE,-0.073,26.84,97053853.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
SOKM,BEKLE,-0.077,53.1,328646961.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
EFOR,BEKLE,-0.0784,18.2,1626306921.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
TUKAS,BEKLE,-0.0906,2.1,119358822.0,,,,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
KLRHO,BEKLE,-0.096,81.15,325055024.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
EKGYO,BEKLE,-0.107,18.62,2553410718.0,,,,,,,XU100 yükseliş trendinde.,2026-07-24
OBAMS,SAT,-0.1267,5.21,229685229.0,5.75,4.52,1.28,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
FROTO,SAT,-0.1368,79.0,1717109774.0,83.62,73.88,1.11,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
BERA,SAT,-0.1579,13.57,116165118.0,14.7,12.33,1.1,,,,XU100 yükseliş trendinde.,2026-07-24
ULKER,SAT,-0.2299,92.05,560712990.0,96.88,85.8,1.29,,,⚠️,XU100 yükseliş trendinde.,2026-07-24
